,text
539,The cream cheeses are out of this world and I love that coffee!!
540,"From the entrees to the sides to the drinks, everything was creatively prepared yet still simple."
541,It was not above ordinary and the beef version had cheap (undercooked) beef.
542,"It was nice and fresh, but I can't give it high scores on being authentic thai."
543,"Only wine and beer are served, but the house varities are actually quite good."
544,My mouth starts to water merely thinking about the delight that is this restaurant.
545,"Oh, and the complimentary pudding dessert was just enough- yummy!"
546,we split a tasty vegetable samosa and the malai tikka wrap.
547,Knowledge of the chef and the waitress are below average.
548,Decent wine selection too.
549,I have to say I have never had a disapointing meal here.
550,Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).
551,"Disappointing food, lousy service."
552,"If you want a casual neighborhood bistro that has great food and excellent service, this is the place."
553,great place to go for a drink too because they have 100 kinds of beer.
554,"Over price, and small portions ."
555,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis."
556,The food was well prepared and the service impecable.
557,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here."
558,"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me."
559,But the thai is definitely not great -- bland and indistinguished.
560,Stuffing yourself with Japanese food is a rare thing.
561,While the food was good (certainly no Il Mulino) the service was horrendous.
562,Great pizza for lunch place.
563,The food was very expensive (we spent $160 for lunch for two) but extremely tasty.
564,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese."
565,"I LOVE their spicy scallop roll, and my boyfriend consistently gets the sesame chicken."
566,Best dish is nori-wrapped tuna.
567,The food was absolutely amazing!!
568,"An excellent alternative to fast food joints and ordering in but, the food was slightly disappointing."
569,Mermaid Inn is an overall good restaurant with really good seafood.
570,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste."
571,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.
572,All of the pizzas are terrific and the price is even better!
573,"It is about FOOD and Ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine."
574,The food was good too.
575,"Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US."
576,The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.
577,The white bean brushetta to start was incredible and the pasta was phenomenal.
578,The rest of the menu is limited by everything is good eats.
579,The menu is nothing like the one on the website.
580,"Great food, great lay out and awesome service."
581,I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.
582,"They have it all -- great price, food, and service."
583,"The flavors are great, and the menu is extensive."
584,"The food was amazing, the service was so attentive and personable, and how about that ambience!"
585,The food has been consistant for years and it never lets you down.
586,I found the variety of the sashimi plate to be satisfying - fresh and yummy.
587,sometimes i get good food and ok service.
588,"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks."
589,"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like."
590,The food was spicy and delicious.
591,A little overpriced but worth it once you take a bite.
592,"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari."
593,Dahkin also offers prix fixe lunch and buffet.
594,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.
595,Great place to grab a hot bagel on the way to work.
596,"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red)."
597,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off."
598,We were looking forward to nice glass of Sangria when we arrived.
599,"While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse."
600,We've been to Grocery three times and not once has an item on the menu disappointed.
601,"The food is very good too but for the most part, it's just regular food, nothing special."
602,A touch more jalapeno heat for contrast and it would have been very good indeed.
603,Tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes.
604,"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared."
605,This food is asian-air fusion.
606,Nothing fancy but really good food with pretty reasonable price.
607,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm."
608,"While I quite liked the food and the ambience, I'm not quite sure if it they really deserve it the Michelin rating they have displayed so prooudly in the window."
609,Service was good and food is wonderful.
610,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal
611,"being a fan of spicy ethnic foods, indian included, i made friends with this place long ago."
612,The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!
613,"I have eaten at Saul, many times, the food is always consistently, outrageously good."
614,(Always ask the bartender for the SEASONAL beer!!!
615,Service and food is what any one would expect when spending that type of money.
616,Every course was better than the next.
617,"Apparently, the good cook works then."
618,The Yellowtail was particularly good as well.
619,I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.
620,"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor."
621,"More important, the sushi rivals the best in Tokyo."
622,I have never had cheescake like this.
623,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness."
624,Great sushi experience.
625,"If you're looking for a great meal at a decent price, go to Del Frisco's!"
626,My steak au poivre was one of the worst I've had.
627,"Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread."
628,"Although the tables may be closely situated, the candle-light, food-quality and service overcompensate."
629,The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).
630,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it."
631,"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull."
632,Tasty but expensive.
633,"Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand."
634,My friend ordered some of their special sushi rolls which had excellent presentation and tasted great!
635,"The staff was accomodating, the food was absolutely delicious and the place is lovely."
636,"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy."
637,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.
638,I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.
639,I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.
640,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!"
641,"To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate."
642,The banana tower is an amazing dessert as well.
643,"Excellent atmosphere, delicious dishes good and friendly service."
644,A cool place to hang with your friends for a couple of healthy drinks and desserts.
645,"I like Mamoun's food as well, but side by side, Kati Rolls just produce tastier food hands down."
646,But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.
647,Great food and the prices are very reasonable.
648,Wine list is not huge but def well selected.
649,"A cool bar with great food, and tons of excellent beer."
650,"Be sure to try the seasonal, and always delicious, specials."
651,"Fresh, authentic, french cuisine in substantial portions."
652,The one vegetarian entree (Abby's treasure) was actually quite a surprise - it was delicious and had wintermelon covering an assortment of fresh mushrooms and vegetables.
653,"Even better, they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it."
654,We had a wonderful meal at Naples 45 a month ago on a visit to NYC.
655,Good drink.
656,"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom."
657,My chow fun and chow see was really bland and oily.
658,"I didn't take a look at the rest menu, but the oysters were fantastic."
659,The grilled cheese at home afterwards was better.!!
660,"Great service, great food."
661,"The food is expensive, but worth every bite."
662,"sometimes i get bad food and bad service, sometimes i get good good and bad service."
663,"It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar..."
664,"If you love seafood, you would love this place!"
665,Dakshin is one of the few affordable and tasty Indian restaurant in the upper east side.
666,"My friends and I experienced amazing cheese and a delicious, new summer menu at Artisanal last night."
667,It is obvious that no one in the restaurant has any idea about or experience with Japanese cuisine.
668,"In terms of the food itself -- nothing special, we limited ourselves to several appetizers."
669,"The staff is accomodating, the ambiance is exciting and yet relaxed, and the food is out of this world!"
670,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch."
671,it's the only place you can get yummy authentic japanese comfort food.
672,This is the BEST Shabu-Shabu Restaurant in the Try-State Area.
673,"Largest and freshest pieces of sushi, and delicious!"
674,Even the pasta is delicious here (a rarity in New York pizza restaurants).
675,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section."
676,"Maybe I say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful."
677,"When he's not making authentic Neapolitan pizza in the open brick oven or lightly frying zucchini blossoms, he's visiting the regulars (a growing legion) and checking on newcomers."
678,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!
679,"The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's."
680,Fish is so very fresh.
681,The prices were CHEAP compared to the quality of service and food.
682,"Top spot in town for Vietnamese classics, better than places that cost a lot more."
683,"This was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater."
684,"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away."
685,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.
686,They have a huge selection of different cream cheeses and all of their salads are great.
687,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.
688,The food was authentic.
689,The dim sum is delectable while the prices are quite easy on the wallet.
690,"I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at."
691,Okay-i don't mind the oily part (cause most are cooked that way) but it was way too bland.
692,I ordered a Chicken Teriyaki dish and found that the chicken was extremely dry.
693,We had Pam's special fried fish and it was amazing.
694,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque.
695,"So, a little inconsistency there but either way, both pizzas were really good."
696,"Overall the restaurant is more expensive than our other sushi favorites, but everything was delicious."
697,Not enough wines by the glass either.
698,I had the duck breast special on my last visit and it was incredible.
699,These innovators of french indian fusion do a great job of making dishes as interesting as possible while still being accessible.
700,No gimmicks here -- the food speaks for itself in its freshness and preparation.
701,My wife had the fried shrimp which are huge and loved it.
702,"Everything I had was good, and I'm a eater."
703,One should not go to Lucky Strike for the food.
704,We could only get through an appetizer and cheese fondue.
705,"Try everything for that matter, it is all good."
706,Try the green curry!!!
707,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.
708,"You rarely have to wait for a seat and the currys (masaman, green, red) are full of flavor and come super spicy if you ask for it."
709,The food there are sastifying.
710,I highly recommend visiting this restaurant and having dinner and drinks!
711,The bar is very well stocked with interesting beers and well priced wines.
712,The food was good.
713,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value."
714,I have enjoyed everything I have ever gotten and the fish is so fresh and always prepared in a great way.
715,I particularly love their yellowfun tuna and their mussel selection.
716,Cheese plate is a varied delight and great bargain at $10.
717,I could have drank 4 glasses of water and still been parched - so watch out.
718,But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed crust and less tomato sauce than usual).
719,"The steak is good, the fish is good and the sushi was surprisingly great."
720,"My GF and I still choose to eat there a lot because of diverse cocktails, the chill decor, and the decent sushi."
721,We ended the dinner with a surprisingly light and flaky apple tarte tatin.
722,The buffet had a nice selection.
723,"The food was below average, the service was pathetic, there was no ambience at all."
724,The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.
725,They are the best bagels I've had.
726,"$160 for 2 filets, 2 sides, an appetizer and drinks."
727,"While the prices are nothing special, the portions are huge."
728,"Its a nice quiet location to go eat a good meal, relax, be able to talk and have a very good time."
729,"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food."
730,The wine list is extensive and impressive.
731,The quail was fantastic and unique and the pastas were full of flavor.
732,The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.
733,"Aside from the rushed service, we were very impressed with the food and the drinks."
734,Make sure you have the Spicy Scallop roll.. .
735,I would highly recommend this place to anyone who is looking for a fine Indian dining experience that is definitely a value for your dollar.
736,The specials are usually quite good too.
737,They've the best desserts and mixed drinks as well as snack foods.
738,Try the chocolate mud cake (warmed) with 2 scoops of dulce de leche gelato.
739,"While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled."
740,The best burger I have had in the Village.
741,I would have gotten some cole slaw and a knish if my stomach had more space.
742,"The blond wood decor is very soothing, the premium sake is excellent and the service is great."
743,As always we had a great glass of wine while we waited.
744,For dinner I had the chicken tikka-masala and some garlic naan.
745,Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.
746,"Also, because it is so thin, it gets cold very quickly and its not that filling."
747,The food is nothing like its menu description.
748,Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.
749,It's just O.K. pizza.
750,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying."
751,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere."
752,The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.
753,Thius is a must for anyone who loves Shabu-Shabu.
754,The food was absolutely horrible!
755,Food doesn't appear to be cooked on premisis but there's a high turnover so its pretty fresh.
756,"The people with carts of food don't understand you because they don't speak English, their job is to give you the delicious food you point at."
757,"The crackling calamari salad, which is usually a cheap disaster at many restaurants, is crispy and lightly dressed."
758,"Not the greatest sushi place, but excellent for a $19.95 all you can eat."
759,The Thai ice tea was amazingly smooth and yummy!
760,What I didn't like was how the food came right after it was ordered.
761,I think I've had some the best meals of my life at minnow.
762,My biggest complaint was the un-tasty food although presented well.
763,"Most importantly, food is excellent."
764,"However, service was as plain as sesame crusted Salmon I had."
765,The food was mediocre at best but it was the horrible service that made me vow never to go back.
766,"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting."
767,"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!"
768,"the real kicker of the menu, however, is the beef cubes or the chicken with chili and lemon grass."
769,"The bread and lamb chops I had before the meal were quite good, however."
770,one of the best Chicken Tikka Masala.
771,"Excellent dumplings served amid clean, chic decor."
772,"The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square."
773,"The plain slice is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places."
774,"Service is great, takeout is good too."
775,The pizza is overpriced and soggy.
776,"Everything is excellent, the menu is quite extensive, and you eat with a view on both sides of the city."
777,"For the quality of food, a little too expensive."
778,I've never had bad service and the fish is fresh and delicious.
779,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad."
780,What an amazing meal and experience!
781,Unique apppetizers.
782,"This place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else."
783,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
784,The Thai food is good.
785,"Great selection of wine, and seafood."
786,delicious.
787,"As I made the title, it's an affordable restaurant for great taste."
788,"Orsay, is a very pleasnt throw back to traditional French food, and French service as well."
789,Great food at reasonable prices.
790,Salads are a delicious way to begin the meal.
791,"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways."
792,Should you happen to be impressed by the cuisine definitely try it.
793,"I had the black cod with yuzu sauce, which was wonderful."
794,"Everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food."
795,- i asked for them spicy and they were delicious).
796,"It is terrific, as is the value."
797,The sicilian is my favorite it is moist not dry like most places but all their pizza is great!
798,The menu prices are a bit expensive for what you get in quality and portion size.
799,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed."
800,"The food was not fresh, the sauces were bland and very oily."
801,One of us actually liked the expresso - that's it.
802,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.
803,"The food was just OK, I would never go back."
804,i recommend the thai popcorn :)
805,"Everything looks great, the drinks, the decor, the food, even the people."
806,The parathas and kebabs are made when ordered ensuring a level of freshness that is unsurpassed.
807,The tuna and wasabe potatoes are excellent.
808,My fiance took me to Scopa last week for my birthday and I couldn't believe the food.
809,Ummm...the beer was cold.
810,"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house."
811,"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch."
812,"The Halibut was too salty, dessert was so so (don't waste any of your calories) and service was poor."
813,"The view is spectacular, and the food is great."
814,Good bagels and good cream cheese.
815,"The food is wonderful, tasty and filling, and the service is professional and friendly."
816,I am happy i did the food was awsome.
817,"We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark meat and on the bone."
818,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab."
819,We could have made a meal of the yummy dumplings from the dumpling menu.
820,"Then, get ripped on free box wine."
821,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.
822,"If you don't mind pre-sliced low quality fish, unfriendly staff and a sushi chef that looks like he is miserable then this is your place."
823,The food itself was just ok - nothing spectacular - but the service was awful.
824,The pizza is yummy and I like the atmoshpere.
825,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it."
826,Good food.
827,"those rolls were big, but not good and sashimi wasn't fresh."
828,"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before."
829,"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great."
830,"However, go for the ambience, and consider the food just a companion for a trip across the world!"
831,Food was good not great not worth the wait or another visit
832,"When you want a piece of beef, head on over."
833,"Delicate spices, onions, eggs and a kick-ass roti."
834,Incredible food at a very agreable price brings me back just about every other day to this authentic Thai restaurant.
835,The menu has lots of options: I hope to go back to try those potato pancakes.
836,"My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions."
837,Delicious crab cakes too.
838,The bruschetta and panini's are so yummy!
839,"Food was okay, nothing great."
840,"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance."
841,Best Pastrami I ever had and great portion without being ridiculous.
842,"If you are someone who appreciates the same things but hope to have food to spare or share, Kai may not be the best option."
843,go here for the drinks!
844,"The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet."
845,"Butter was melted, white wine warm, cheese oozing everywhere."
846,We were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.
847,Authentic Pakistani food.
848,It is very overpriced and not very tasty.
849,IT IS DEFINITELY SPECIAL AND AFFORDABLE.
850,It was pretty inexpensive too.
851,This isn't a value joint.
852,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
853,this little place has a cute interior decor and affordable city prices.
854,Two words: Free wine.
855,The price is reasonable although the service is poor.
856,I just wonder how you can have such a delicious meal for such little money.
857,"Pricey, but worth a try, at least once."
858,This place is a great bargain.
859,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
860,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
861,good selection of wines ranging from affordable to high end.
862,They have authentic Indian at amazin prices.
863,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.
864,"What is even better, is that the prices are very affordable as well, and the food is really good."
865,"It's a really great deal, considering we got full off of four dollars."
866,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money."
867,"Lunch came with pickels and slaw, no extra charge."
868,Decent wine at reasonable prices.
869,would have rather tried terrace in the sky or water club for that price
870,Amma has the worst value for money I have experienced in NYC over the past 2 years.
871,I think this would be a pretty good spot if it were not so overpriced and overrated.
872,bottles of wine are cheap and good.
873,Very good service and very good prices.
874,the drinks are amazing and half off till 8pm.
875,Nice value.
876,The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
877,"overall, a solid restaurant and at less than $40pp (including wine), a solid deal as well."
878,"It costs $2 extra to turn a regular roll into an inside-out roll, but the roll more than triples in size, and that's not just from the rice."
879,Also they were $15 each!
880,Not pretentious and very economical.
881,Somewhat pricey but what the heck.
882,"It's true, this place is not cheap."
883,The atmosphere is great if your looking for a laid back scene and an inexpensive way to spend a weekend afternoon.
884,We generally like good restaurants and eat out often but Kai was way to expensive for what we got.
885,The bill is approximately $25 for 2 at lunch without drinks.
886,"The overall price tag was very very expensive, something I did expect."
887,"Spice is great Thai food, love the inexpensive appetizers."
888,"The rest of the dim sum, though pricey by Chinatown standards, is worth it."
889,Prices are very good.
890,What a ripoff!
891,"good music, great food, speedy service affordable prices."
892,The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.
893,"Otherwise, this place has great service and prices and a nice friendly atmosphere."
894,Highly recommend this as great value for excellent sushi and service.
895,"This is some really good, inexpensive sushi."
896,For $600 ( the most we have ever paid) not even waving a magic wand will ever get us back for a repeat performance.
897,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices."
898,Baluchi's has solid food and a nice decor at reasonable prices.
899,I came to this restaurant expecting to be surprised but left bored and overcharged.
900,"A cheap eat for NYC, but not for dosa."
901,"($200 for 2 glasses of champagne, not too expensive bottle of wine and 2 after dinner drinks)."
902,Diner food at bistro prices is a bummer....
903,Would recommend this place as a good date spot if you don't want to drop a ton of cash.
904,Much more reasonably priced too!
905,"For $760 for 2 people, it's a once in a lifetime experience."
906,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return."
907,"Anyway, the food is good, the price is right and they have a decent wine list."
908,Prices are higher to dine in and their chicken tikka marsala is quite good.
909,Pair you food with the excellent beers on tap or their well priced wine list.
910,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.
911,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables."
912,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).
913,"The food is fresh, delicious, and reasonably priced."
914,A great choice at any cost and a great deal.
915,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list."
916,Also very inexpensive.
917,The food is great and reasonably priced.
918,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese."
919,Prices are in line.
920,and for this i had to shell out a small fortune?
921,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous."
922,"Yes, the prices are high, but I felt it was worth it."
923,"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe."
924,We were fans of the half-price Saturday night option until some inedible squid during a recent visit.
925,This is a wonderful place on all stand points especially value ofr money.
926,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.
927,The food is reliable and the price is moderate.
928,The prices were fantastic.
929,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house..."
930,I love the fact that the pizza tastes so good and is so cheap.
931,You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.
932,It's a great place to pick up a cheap lunch or dinner.
933,"A large is $20, and toppings are about $3 each."
934,It is not worth for that bucks.
935,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.
936,"Oh, don't even let me start with how expensive the bills were!"
937,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill."
938,"Even though its good seafood, the prices are too high."
939,"In addition, the food is very good and the prices are reasonable."
940,Reasonable prices.
941,It won't break the bank but I also wouldnt come back for the food.
942,Taj Mahal offeres gret value and great food.
943,"Outstanding Bagels, but you get what you pay for."
944,"This restaurant is not worth the time, effort, or money to say the least."
945,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49."
946,Also a little more expensive than your average bagel place.
947,"I got the $10 10-piece dim sum combo, every bite of which was great."
948,The prices are wonderfully low.
949,I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.
950,No free drink.
951,"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city."
952,"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck."
953,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.
954,"If you want to save some money, don't go here."
955,And the prices were way to high for what you get.
956,"I need at least three rolls to be full, and that's at least $14.00!"
957,"All of it was simply amazing, unique and tasty and best of all it didn't break the bank."
958,"Great wine list, reasonably priced.--Sara"
959,"While the food was excellent, it wasn't cheap (though not extremely expensive either)."
960,The prices and ambience are especially great considering it's in the West Village.
961,"For the price, you cannot eat this well in Manhattan."
962,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care."
963,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down ."
964,"my wife and i have been going to nyc for years and wouldn't miss roxy,s food is expensive but it's new york!"
965,Priced at upper intermediate range.
966,"If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount."
967,The food is great and they have a good selecion of wines at reasonable prices.
968,i would go again if i didn't have to pay.
969,"For the location, the prices are very reasonable."
970,The food is okay and the prices here are mediocre.
971,"Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner."
972,$20 for all you can eat sushi cannot be beaten.
973,"Great food, great prices, great service."
974,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get."
975,"The sandwiches are dry, tasteless and way overpriced."
976,Price no more than a Jersey deli but way better.
977,It's a steal!
978,The drinks are always welll made and wine selection is fairly priced.
979,Delicious food at a great price but do not go here on a cold day and sit by the front door.
980,"Overall, I'm still impressed that the place even exists and the prices are quite decent but then again, its Chinatown."
981,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
982,Sushi wasn't anything spectacular for the price.
983,"Overall, worht every penny."
984,"Over price, and small portions ."
985,"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here."
986,It is expensive but well worth the money.
987,The food was very expensive (we spent $160 for lunch for two) but extremely tasty.
988,The all you can eat deal is truly amazing here.
989,"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste."
990,They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.
991,All of the pizzas are terrific and the price is even better!
992,"They have it all -- great price, food, and service."
993,"It's a place for people who pay a lot for mediocre food, noise and a chance to be with their fellow bridge and tunnel folks."
994,A little overpriced but worth it once you take a bite.
995,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off."
996,The lunch special is an asbolute steal.
997,Nothing fancy but really good food with pretty reasonable price.
998,Not worth the prices.
999,sandwiches tho pricey are over stuffed - can serve 2 persons easily thus cost effective!
1000,"Not cheap, but not that expensive either."
1001,"Spice is sleek, modern and cool with a menu that will not hurt your wallet."
1002,Very affordable and excellent ambient!
1003,"Bill a little high, but worth it."
1004,"If you're looking for a great meal at a decent price, go to Del Frisco's!"
1005,They charge $6.00 for rice.
